N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
122,76,198,Os,x,-23840,200,7891,1,B-,1980,280.    19
121,77,198,Ir,x,-25820,200,7897,1,B-,4080,200.    19
120,78,198,Pt,,-29904,2.1,7914.15,0.011,B-,-323.2,2.1   19
119,79,198,Au,,-29580.8,0.5,7908.567,0.003,B-,1373.5,0.5   19
118,80,198,Hg,,-30954.3,0.5,7911.552,0.002,,*,19
117,81,198,Tl,x,-27529,8,7890.3,0.04,B+,3426,8     19
116,82,198,Pb,,-26067,9,7878.97,0.04,B+,1461,12     19
115,83,198,Bi,x,-19369,28,7841.19,0.14,B+,6698,29     19
114,84,198,Po,,-15473,17,7817.56,0.09,B+,3900,30     19
113,85,198,At,x,-6715,6,7769.373,0.03,B+,8759,18     19
112,86,198,Rn,#NAME?,-1230,13,7737.72,0.07,B+,5484,15     19
111,87,198,Fr,#NAME?,9570,30,7679.21,0.16,B+,10800,30     19
124,75,199,Re,x,-14860,400,7851,2,B-,5620,450.    19
123,76,199,Os,x,-20480,200,7875,1,B-,3920,200.    19
122,77,199,Ir,p-2n,-24400,40,7891.21,0.21,B-,2990,40     19
121,78,199,Pt,#NAME?,-27388.7,2.2,7902.3,0.011,B-,1705.1,2.1   19
120,79,199,Au,,-29093.7,0.5,7906.937,0.003,B-,452.3,0.6   19
119,80,199,Hg,,-29546.1,0.5,7905.279,0.003,,*,19
118,81,199,Tl,x,-28059,28,7893.88,0.14,B+,1487,28     19
117,82,199,Pb,#NAME?,-25232,10,7875.74,0.05,B+,2828,30     19
116,83,199,Bi,,-20798,11,7849.52,0.05,B+,4434,15     19
115,84,199,Po,#NAME?,-15208,18,7817.5,0.09,B+,5589,21     19
114,85,199,At,,-8823,5,7781.488,0.027,B+,6385,19     19
113,86,199,Rn,#NAME?,-1500,40,7740.75,0.19,B+,7320,40     19
112,87,199,Fr,#NAME?,6771,14,7695.26,0.07,B+,8270,40     19
124,76,200,Os,x,-18780,300,7868,1,B-,2830,360.    19
123,77,200,Ir,x,-21610,200,7878,1,B-,4990,200.    19
122,78,200,Pt,#NAME?,-26599,20,7899.2,0.1,B-,640,30     19
121,79,200,Au,,-27240,27,7898.49,0.13,B-,2263,27     19
120,80,200,Hg,,-29503.3,0.5,7905.895,0.003,,*,19
119,81,200,Tl,-,-27047,6,7889.703,0.029,B+,2456,6     19
118,82,200,Pb,4n,-26251,11,7881.81,0.05,B+,796,12     19
117,83,200,Bi,#NAME?,-20371,22,7848.5,0.11,B+,5880,25     19
116,84,200,Po,,-16942,8,7827.44,0.04,B+,3429,24     19
115,85,200,At,#NAME?,-8988,24,7783.76,0.12,B+,7954,26     19
114,86,200,Rn,#NAME?,-4005,14,7754.93,0.07,B+,4983,28     19
113,87,200,Fr,#NAME?,6130,30,7700.33,0.15,B+,10140,30     20
125,76,201,Os,x,-15240,300,7851,1,B-,4660,360.    20
124,77,201,Ir,x,-19900,200,7871,1,B-,3840,200.    20
123,78,201,Pt,+,-23740,50,7885.83,0.25,B-,2660,50     20
122,79,201,Au,,-26401,3,7895.175,0.016,B-,1262,3     20
121,80,201,Hg,,-27662.5,0.7,7897.56,0.004,,*,20
120,81,201,Tl,,-27181,14,7891.27,0.07,B+,482,14     20
119,82,201,Pb,,-25271,14,7877.88,0.07,B+,1910,19     20
118,83,201,Bi,#NAME?,-21416,15,7854.81,0.08,B+,3855,20     20
117,84,201,Po,,-16521,5,7826.561,0.025,B+,4895,16     20
116,85,201,At,#NAME?,-10789,8,7794.15,0.04,B+,5732,10     20
115,86,201,Rn,#NAME?,-4070,50,7756.84,0.25,B+,6720,50     20
114,87,201,Fr,#NAME?,3589,9,7714.84,0.05,B+,7660,50     20
113,88,201,Ra,#NAME?,11937,20,7669.41,0.1,B+,8348,22     20
126,76,202,Os,x,-13090,400,7842,2,B-,3690,500.    20
125,77,202,Ir,x,-16780,300,7856,1,B-,5920,300.    20
124,78,202,Pt,x,-22692,25,7881.56,0.12,B-,1660,30     20
123,79,202,Au,x,-24353,23,7885.91,0.12,B-,2992,23     20
122,80,202,Hg,,-27345.3,0.7,7896.85,0.003,,*,20
121,81,202,Tl,,-25980.2,1.6,7886.219,0.008,B+,1365.1,1.6   20
120,82,202,Pb,,-25941,4,7882.15,0.019,B+,40,4     20
119,83,202,Bi,,-20741,15,7852.54,0.08,B+,5199,16     20
118,84,202,Po,,-17942,9,7834.8,0.04,B+,2800,18     20
117,85,202,At,#NAME?,-10591,28,7794.54,0.14,B+,7351,29     20
116,86,202,Rn,#NAME?,-6275,18,7769.3,0.09,B+,4320,30     20
115,87,202,Fr,#NAME?,3096,7,7719.04,0.03,B+,9371,19     20
114,88,202,Ra,#NAME?,9075,15,7685.57,0.07,B+,5979,17     20
127,76,203,Os,x,-7640,400,7816,2,B-,7050,570.    20
126,77,203,Ir,x,-14690,400,7847,2,B-,4940,450.    20
125,78,203,Pt,x,-19630,200,7867,1,B-,3520,200.    20
124,79,203,Au,,-23143,3,7880.864,0.015,B-,2126,3     20
123,80,203,Hg,,-25269.3,1.6,7887.482,0.008,B-,492.1,1.2   20
122,81,203,Tl,,-25761.4,1.2,7886.053,0.006,,*,20
121,82,203,Pb,,-24787,7,7877.4,0.03,B+,975,6     20
120,83,203,Bi,#NAME?,-21525,13,7857.48,0.06,B+,3262,14     20
119,84,203,Po,#NAME?,-17311,9,7832.86,0.04,B+,4214,15     20
118,85,203,At,,-12163,11,7803.65,0.05,B+,5148,14     20
117,86,203,Rn,#NAME?,-6154,18,7770.19,0.09,B+,6009,21     20
116,87,203,Fr,,876,6,7731.71,0.03,B+,7030,19     20
115,88,203,Ra,#NAME?,8660,40,7689.5,0.19,B+,7790,40     20
127,77,204,Ir,x,-9690,400,7824,2,B-,8230,450.    20
126,78,204,Pt,x,-17920,200,7860,1,B-,2730,280.    20
125,79,204,Au,+,-20650,200,7870,1,B-,4040,200.    20
124,80,204,Hg,,-24690.1,0.5,7885.545,0.003,B-,-344,1.2   20
123,81,204,Tl,,-24346.1,1.2,7880.023,0.006,B-,763.75,0.18  20
122,82,204,Pb,,-25109.9,1.1,7879.932,0.006,,*,20
121,83,204,Bi,#NAME?,-20646,9,7854.21,0.05,B+,4464,9     20
120,84,204,Po,#NAME?,-18341,11,7839.08,0.05,B+,2305,14     20
119,85,204,At,,-11875,22,7803.55,0.11,B+,6466,25     20
118,86,204,Rn,,-7970,7,7780.57,0.04,B+,3905,23     20
117,87,204,Fr,#NAME?,607,25,7734.69,0.12,B+,8578,26     20
116,88,204,Ra,#NAME?,6057,15,7704.14,0.07,B+,5449,29     20
128,77,205,Ir,x,-5960,500,7807,2,B-,7010,590.    20
127,78,205,Pt,x,-12970,300,7837,1,B-,5800,360.    20
126,79,205,Au,x,-18770,200,7861,1,B-,3520,200.    20
125,80,205,Hg,,-22288,4,7874.732,0.018,B-,1533,4     20
124,81,205,Tl,,-23820.9,1.2,7878.394,0.006,,*,20
123,82,205,Pb,,-23770.2,1.1,7874.331,0.006,B+,50.6,0.5   20
122,83,205,Bi,,-21065,5,7857.316,0.025,B+,2706,5     20
121,84,205,Po,,-17521,10,7836.22,0.05,B+,3543,11     20
120,85,205,At,#NAME?,-12972,15,7810.21,0.07,B+,4549,18     20
119,86,205,Rn,,-7710,5,7780.722,0.025,B+,5262,16     20
118,87,205,Fr,x,-1310,8,7745.69,0.04,B+,6400,9     20
117,88,205,Ra,#NAME?,5840,70,7707,0.3,B+,7150,70     20
116,89,205,Ac,#NAME?,14110,50,7662.85,0.25,B+,8270,90     20
128,78,206,Pt,x,-9630,300,7822,1,B-,4580,420.    20
127,79,206,Au,x,-14220,300,7840,1,B-,6730,300.    20
126,80,206,Hg,#NAME?,-20946,20,7869.17,0.1,B-,1308,20     20
125,81,206,Tl,,-22253.4,1.3,7871.721,0.006,B-,1532.2,0.6   20
124,82,206,Pb,,-23785.6,1.1,7875.362,0.006,,*,20
123,83,206,Bi,-,-20028,8,7853.32,0.04,B+,3757,8     20
122,84,206,Po,#NAME?,-18189,4,7840.597,0.019,B+,1840,9     20
121,85,206,At,,-12430,15,7808.84,0.07,B+,5759,16     20
120,86,206,Rn,,-9133,9,7789.04,0.04,B+,3297,17     20
119,87,206,Fr,#NAME?,-1242,28,7746.94,0.14,B+,7891,29     20
118,88,206,Ra,#NAME?,3566,18,7719.8,0.09,B+,4810,30     20
117,89,206,Ac,#NAME?,13480,50,7667.88,0.25,B+,9910,50     20
129,78,207,Pt,x,-4540,400,7798,2,B-,6270,500.    20
128,79,207,Au,x,-10810,300,7825,1,B-,5680,300.    20
127,80,207,Hg,x,-16487,30,7848.61,0.14,B-,4550,30     20
126,81,207,Tl,,-21034,5,7866.797,0.026,B-,1418,5     20
125,82,207,Pb,,-22452,1.1,7869.866,0.006,,*,20
124,83,207,Bi,,-20054.6,2.4,7854.505,0.012,B+,2397.4,2.1   20
123,84,207,Po,,-17146,7,7836.67,0.03,B+,2909,7     20
122,85,207,At,#NAME?,-13227,12,7813.96,0.06,B+,3918,14     20
121,86,207,Rn,#NAME?,-8635,8,7788,0.04,B+,4593,15     20
120,87,207,Fr,,-2844,18,7756.25,0.08,B+,5790,19     20
119,88,207,Ra,#NAME?,3540,50,7721.6,0.26,B+,6390,60     20
118,89,207,Ac,#NAME?,11150,50,7681.1,0.24,B+,7600,70     20
130,78,208,Pt,x,-990,400,7783,2,B-,5110,500.    20
129,79,208,Au,x,-6100,300,7804,1,B-,7160,300.    20
128,80,208,Hg,x,-13270,30,7834.19,0.15,B-,3480,30     20
127,81,208,Tl,#NAME?,-16750.1,1.9,7847.183,0.009,B-,4998.5,1.7   20
126,82,208,Pb,,-21748.6,1.1,7867.453,0.006,,*,20
125,83,208,Bi,#NAME?,-18870.2,2.3,7849.853,0.011,B+,2878.4,2.0   20
124,84,208,Po,#NAME?,-17469.6,1.7,7839.358,0.008,B+,1400.6,2.4   20
123,85,208,At,#NAME?,-12470,9,7811.56,0.04,B+,5000,9     20
122,86,208,Rn,#NAME?,-9656,11,7794.27,0.05,B+,2814,14     20
121,87,208,Fr,,-2666,12,7756.9,0.06,B+,6990,16     20
120,88,208,Ra,#NAME?,1728,9,7732.02,0.04,B+,4394,15     20
119,89,208,Ac,#NAME?,10750,60,7684.86,0.27,B+,9030,60     20
118,90,208,Th,#NAME?,16680,30,7652.59,0.16,B+,5930,70     20
130,79,209,Au,x,-2540,400,7788,2,B-,6100,430.    20
129,80,209,Hg,x,-8640,150,7813,1,B-,5000,150.    20
128,81,209,Tl,#NAME?,-13645,6,7833.397,0.029,B-,3970,6     20
127,82,209,Pb,,-17614.6,1.7,7848.648,0.008,B-,644,1.1   20
126,83,209,Bi,,-18258.7,1.4,7847.987,0.007,,*,20
125,84,209,Po,#NAME?,-16366.1,1.8,7835.188,0.009,B+,1892.6,1.6   20
124,85,209,At,,-12883,5,7814.777,0.024,B+,3483,5     20
123,86,209,Rn,,-8941,10,7792.17,0.05,B+,3942,11     20
122,87,209,Fr,x,-3770,15,7763.69,0.07,B+,5171,18     20
121,88,209,Ra,#NAME?,1858,6,7733.017,0.027,B+,5628,16     20
120,89,209,Ac,#NAME?,8840,50,7695.85,0.24,B+,6990,50     20
119,90,209,Th,IT,16370,140,7656,1,B+,7520,150.    20
131,79,210,Au,x,2330,400,7766,2,B-,7690,450.    21
130,80,210,Hg,x,-5370,200,7799,1,B-,3880,200.    20
129,81,210,Tl,#NAME?,-9247,12,7813.59,0.06,B-,5482,12     20
128,82,210,Pb,,-14728.5,1.4,7835.965,0.007,B-,63.5,0.5   20
127,83,210,Bi,,-14792,1.4,7832.542,0.006,B-,1161.2,0.8   20
126,84,210,Po,,-15953.1,1.1,7834.346,0.005,,*,20
125,85,210,At,#NAME?,-11972,8,7811.66,0.04,B+,3981,8     20
124,86,210,Rn,#NAME?,-9605,5,7796.665,0.022,B+,2367,9     20
123,87,210,Fr,,-3333,15,7763.07,0.07,B+,6272,16     20
122,88,210,Ra,#NAME?,443,9,7741.37,0.04,B+,3776,18     21
121,89,210,Ac,#NAME?,8790,60,7697.9,0.27,B+,8350,60     21
120,90,210,Th,#NAME?,14059,19,7669.08,0.09,B+,5270,60     21
131,80,211,Hg,x,-620,200,7778,1,B-,5450,200.    21
130,81,211,Tl,x,-6080,40,7799.79,0.2,B-,4410,40     21
129,82,211,Pb,,-10492.9,2.3,7817.007,0.011,B-,1366,5     21
128,83,211,Bi,,-11859,5,7819.774,0.026,B-,573,5     21
127,84,211,Po,#NAME?,-12432.6,1.3,7818.784,0.006,,*,21
126,85,211,At,#NAME?,-11647.3,2.7,7811.354,0.013,B+,785.3,2.5   21
125,86,211,Rn,#NAME?,-8755,7,7793.94,0.03,B+,2892,7     21
124,87,211,Fr,,-4140,12,7768.36,0.06,B+,4615,14     21
123,88,211,Ra,x,832,8,7741.09,0.04,B+,4972,14     21
122,89,211,Ac,#NAME?,7200,50,7707.19,0.25,B+,6370,50     21
121,90,211,Th,#NAME?,13910,70,7671.7,0.3,B+,6710,90     21
120,91,211,Pa,x,22080,100,7629,0,B+,8170,130.    21
132,80,212,Hg,x,2760,300,7763,1,B-,4310,360.    21
131,81,212,Tl,#NAME?,-1550,200,7780,1,B-,6000,200.    21
130,82,212,Pb,,-7548.8,1.8,7804.319,0.009,B-,569.1,1.8   21
129,83,212,Bi,,-8118,1.9,7803.313,0.009,B-,2251.5,1.7   21
128,84,212,Po,,-10369.5,1.2,7810.243,0.005,B-,-1741.3,2.1   21
127,85,212,At,#NAME?,-8628.2,2.4,7798.34,0.011,B-,31,4     21
126,86,212,Rn,#NAME?,-8660,3,7794.797,0.015,,*,21
125,87,212,Fr,,-3516,9,7766.84,0.04,B+,5144,9     21
124,88,212,Ra,#NAME?,-199,11,7747.51,0.05,B+,3317,14     21
123,89,212,Ac,#NAME?,7280,50,7708.55,0.24,B+,7480,50     21
122,90,212,Th,#NAME?,12111,10,7682.06,0.05,B+,4830,50     21
121,91,212,Pa,#NAME?,21590,70,7633.6,0.4,B+,9480,80     21
133,80,213,Hg,x,7670,300,7741,1,B-,5880,300.    21
132,81,213,Tl,x,1784,27,7765.43,0.13,B-,4987,28     21
131,82,213,Pb,#NAME?,-3204,7,7785.17,0.03,B-,2028,8     21
130,83,213,Bi,,-5232,5,7791.021,0.024,B-,1422,5     21
129,84,213,Po,,-6654,3,7794.024,0.014,,*,21
128,85,213,At,#NAME?,-6580,5,7790.003,0.023,B+,74,5     21
127,86,213,Rn,#NAME?,-5696,3,7782.182,0.016,B+,884,6     21
126,87,213,Fr,,-3553,5,7768.447,0.024,B+,2143,6     21
125,88,213,Ra,,346,10,7746.47,0.05,B+,3898,11     21
124,89,213,Ac,#NAME?,6155,15,7715.53,0.07,B+,5809,18     21
123,90,213,Th,#NAME?,12120,9,7683.85,0.04,B+,5965,18     21
122,91,213,Pa,#NAME?,19660,70,7644.8,0.3,B+,7540,70     21
134,80,214,Hg,x,11180,400,7727,2,B-,4710,450.    21
133,81,214,Tl,x,6470,200,7745,1,B-,6650,200.    21
132,82,214,Pb,,-182.8,2,7772.394,0.009,B-,1018,11     21
131,83,214,Bi,,-1201,11,7773.49,0.05,B-,3269,11     21
130,84,214,Po,,-4470,1.4,7785.116,0.007,B-,-1090,4     21
129,85,214,At,#NAME?,-3380,4,7776.366,0.02,B-,940,10     21
128,86,214,Rn,#NAME?,-4320,9,7777.1,0.04,,*,21
127,87,214,Fr,#NAME?,-959,9,7757.74,0.04,B+,3361,13     21
126,88,214,Ra,#NAME?,93,5,7749.171,0.025,B+,1051,10     21
125,89,214,Ac,#NAME?,6444,15,7715.84,0.07,B+,6351,16     21
124,90,214,Th,#NAME?,10695,11,7692.32,0.05,B+,4251,19     21
123,91,214,Pa,#NAME?,19490,80,7647.6,0.4,B+,8790,80     21
135,80,215,Hg,x,16210,400,7705,2,B-,6300,500.    21
134,81,215,Tl,x,9910,300,7730,1,B-,5570,300.    21
133,82,215,Pb,#NAME?,4340,50,7752.74,0.24,B-,2710,50     21
132,83,215,Bi,,1629,6,7761.717,0.026,B-,2171,6     21
131,84,215,Po,,-541.7,2.1,7768.176,0.01,B-,714,7     21
130,85,215,At,#NAME?,-1256,7,7767.86,0.03,,*,21
129,86,215,Rn,#NAME?,-1169,8,7763.81,0.04,B+,87,10     21
128,87,215,Fr,#NAME?,318,7,7753.26,0.03,B+,1487,10     21
127,88,215,Ra,#NAME?,2534,8,7739.32,0.04,B+,2216,10     21
126,89,215,Ac,#NAME?,6031,12,7719.41,0.06,B+,3497,15     21
125,90,215,Th,#NAME?,10922,9,7693.03,0.04,B+,4891,15     21
124,91,215,Pa,#NAME?,17860,70,7657.1,0.3,B+,6940,70     21
123,92,215,U,#NAME?,24920,90,7620.6,0.4,B+,7060,110     21
136,80,216,Hg,x,19860,400,7690,2,B-,5140,500.    21
135,81,216,Tl,x,14720,300,7710,1,B-,7240,360.    21
134,82,216,Pb,x,7480,200,7740,1,B-,1610,200.    21
133,83,216,Bi,x,5874,11,7743.5,0.05,B-,4092,11     21
132,84,216,Po,,1782.4,1.8,7758.819,0.008,B-,-474,4     21
131,85,216,At,#NAME?,2257,4,7753.002,0.017,B-,2004,7     21
130,86,216,Rn,#NAME?,253,6,7758.657,0.028,,*,21
129,87,216,Fr,#NAME?,2971,4,7742.451,0.019,B+,2718,7     21
128,88,216,Ra,#NAME?,3291,9,7737.35,0.04,B+,320,10     21
127,89,216,Ac,#NAME?,8144,11,7711.26,0.05,B+,4853,14     21
126,90,216,Th,#NAME?,10298,12,7697.66,0.06,B+,2154,16     21
125,91,216,Pa,#NAME?,17800,50,7659.31,0.25,B+,7500,50     21
124,92,216,U,#NAME?,23066,28,7631.31,0.13,B+,5270,60     21
136,81,217,Tl,x,18310,400,7695,2,B-,6070,500.    21
135,82,217,Pb,x,12240,300,7719,1,B-,3510,300.    21
134,83,217,Bi,x,8730,18,7731.85,0.08,B-,2846,19     21
133,84,217,Po,#NAME?,5884,7,7741.36,0.03,B-,1489,8     21
132,85,217,At,,4395,5,7744.616,0.023,B-,736,6     21
131,86,217,Rn,#NAME?,3659,4,7744.403,0.019,,*,21
130,87,217,Fr,#NAME?,4315,7,7737.77,0.03,B+,656,8     21
129,88,217,Ra,#NAME?,5890,7,7726.91,0.03,B+,1575,10     21
128,89,217,Ac,#NAME?,8704,11,7710.34,0.05,B+,2814,13     21
127,90,217,Th,#NAME?,12206,11,7690.59,0.05,B+,3502,16     21
126,91,217,Pa,#NAME?,17068,16,7664.58,0.07,B+,4863,19     21
125,92,217,U,#NAME?,22970,70,7634,0,B+,5910,70.    21
137,81,218,Tl,x,23180,400,7674,2,B-,7730,500.    21
136,82,218,Pb,x,15450,300,7706,1,B-,2240,300.    21
135,83,218,Bi,x,13216,27,7712.83,0.12,B-,4859,27     21
134,84,218,Po,,8356.9,2,7731.528,0.009,B-,259,12     21
133,85,218,At,#NAME?,8098,12,7729.13,0.05,B-,2881,12     21
132,86,218,Rn,,5217.3,2.3,7738.752,0.011,B-,-1842,5     21
131,87,218,Fr,#NAME?,7059,5,7726.715,0.022,B-,408,12     21
130,88,218,Ra,#NAME?,6651,11,7725,0.05,,*,21
129,89,218,Ac,#NAME?,10840,50,7702.18,0.23,B+,4190,50     21
128,90,218,Th,#NAME?,12367,11,7691.6,0.05,B+,1520,50     21
127,91,218,Pa,#NAME?,18684,18,7659.04,0.08,B+,6317,21     21
126,92,218,U,#NAME?,21895,14,7640.72,0.06,B+,3211,23     21
137,82,219,Pb,x,20280,400,7686,2,B-,4000,450.    21
136,83,219,Bi,x,16280,200,7700,1,B-,3600,200.    21
135,84,219,Po,x,12681,16,7713.33,0.07,B-,2285,16     21
134,85,219,At,,10396,3,7720.196,0.015,B-,1566.7,2.9   21
133,86,219,Rn,,8829.4,2.1,7723.777,0.01,B-,212,7     21
132,87,219,Fr,#NAME?,8618,7,7721.17,0.03,,*,21
131,88,219,Ra,#NAME?,9394,8,7714.05,0.04,B+,777,11     21
130,89,219,Ac,#NAME?,11570,50,7700.55,0.23,B+,2180,50     21
129,90,219,Th,#NAME?,14470,50,7683.73,0.23,B+,2900,70     21
128,91,219,Pa,#NAME?,18540,50,7661.57,0.24,B+,4070,70     21
127,92,219,U,#NAME?,23290,50,7636.33,0.23,B+,4750,70     21
126,93,219,Np,#NAME?,29460,90,7604.6,0.4,B+,6170,100     21
138,82,220,Pb,x,23670,400,7672,2,B-,2850,500.    22
137,83,220,Bi,x,20820,300,7682,1,B-,5560,300.    22
136,84,220,Po,x,15263,18,7703.22,0.08,B-,888,23     22
135,85,220,At,x,14376,14,7703.7,0.06,B-,3764,14     22
134,86,220,Rn,,10612.1,1.8,7717.254,0.008,B-,-870,4     22
133,87,220,Fr,#NAME?,11482,4,7709.742,0.018,B-,1212,9     22
132,88,220,Ra,#NAME?,10270,8,7711.7,0.04,,*,22
131,89,220,Ac,#NAME?,13744,6,7692.351,0.028,B+,3473,10     22
130,90,220,Th,#NAME?,14669,22,7684.59,0.1,B+,925,23     22
129,91,220,Pa,#NAME?,20220,50,7656,0,B+,5550,60.    22
128,92,220,U,#NAME?,22930,100,7640,0,B+,2720,110.    22
127,93,220,Np,x,30310,200,7603,1,B+,7380,220.    22
138,83,221,Bi,x,24100,300,7668,1,B-,4320,300.    22
137,84,221,Po,x,19774,20,7684.48,0.09,B-,2991,24     22
136,85,221,At,x,16783,14,7694.47,0.06,B-,2311,15     22
135,86,221,Rn,#NAME?,14471,6,7701.393,0.026,B-,1194,7     22
134,87,221,Fr,,13277,5,7703.256,0.022,B-,313,6     22
133,88,221,Ra,#NAME?,12964,5,7701.135,0.021,,*,22
132,89,221,Ac,#NAME?,14520,50,7690.54,0.23,B+,1560,50     22
131,90,221,Th,#NAME?,16940,8,7676.06,0.04,B+,2420,50     22
130,91,221,Pa,#NAME?,20380,50,7656.97,0.23,B+,3440,50     22
129,92,221,U,#NAME?,24520,50,7634.68,0.23,B+,4140,70     22
128,93,221,Np,x,29850,200,7607,1,B+,5330,210.    22
139,83,222,Bi,x,28730,300,7649,1,B-,6240,300.    22
138,84,222,Po,x,22490,40,7674,0.18,B-,1530,40     22
137,85,222,At,x,20953,16,7677.39,0.07,B-,4581,16     22
136,86,222,Rn,,16372.2,1.9,7694.497,0.009,B-,-6,8     22
135,87,222,Fr,x,16378,7,7690.95,0.03,B-,2058,9     22
134,88,222,Ra,,14320,4,7696.692,0.02,,*,22
133,89,222,Ac,#NAME?,16621,5,7682.802,0.023,B+,2301,7     22
132,90,222,Th,#NAME?,17203,12,7676.66,0.06,B+,582,13     22
131,91,222,Pa,#NAME?,22160,70,7651,0,B+,4950,70.    22
130,92,222,U,#NAME?,24270,50,7637.76,0.23,B+,2120,90.    22
129,93,222,Np,x,31020,200,7604,1,B+,6750,200.    22
140,83,223,Bi,x,32140,400,7636,2,B-,5060,450.    22
139,84,223,Po,x,27080,200,7655,1,B-,3650,200.    22
138,85,223,At,x,23428,14,7668.05,0.06,B-,3038,16     22
137,86,223,Rn,,20390,8,7678.17,0.04,B-,2007,8     22
136,87,223,Fr,,18382.4,1.9,7683.664,0.009,B-,1149.1,0.8   22
135,88,223,Ra,,17233.3,2.1,7685.309,0.009,,*,22
134,89,223,Ac,#NAME?,17826,7,7679.14,0.03,B+,593,7     22
133,90,223,Th,#NAME?,19386,9,7668.64,0.04,B+,1560,12     22
132,91,223,Pa,#NAME?,22320,70,7652,0.3,B+,2930,70     22
131,92,223,U,#NAME?,25840,70,7632.7,0.3,B+,3520,100     22
130,93,223,Np,x,30600,200,7608,1,B+,4760,210.    22
141,83,224,Bi,x,36830,400,7617,2,B-,6920,450.    22
140,84,224,Po,x,29910,200,7644,1,B-,2200,200.    22
139,85,224,At,x,27711,22,7650.73,0.1,B-,5266,24     22
138,86,224,Rn,,22445,10,7670.75,0.04,B-,696,15     22
137,87,224,Fr,x,21749,11,7670.37,0.05,B-,2923,11     22
136,88,224,Ra,,18825.9,1.8,7679.922,0.008,B-,-1408,4     22
135,89,224,Ac,#NAME?,20234,4,7670.143,0.018,B-,240,11     22
134,90,224,Th,#NAME?,19994,10,7667.72,0.05,,*,22
133,91,224,Pa,#NAME?,23862,8,7646.96,0.03,B+,3869,13     22
132,92,224,U,#NAME?,25722,23,7635.16,0.1,B+,1860,24     22
131,93,224,Np,x,31880,200,7604,1,B+,6150,200.    22
141,84,225,Po,x,34530,300,7626,1,B-,4140,420.    22
140,85,225,At,x,30400,300,7641,1,B-,3860,300.    22
139,86,225,Rn,,26534,11,7654.36,0.05,B-,2714,16     22
138,87,225,Fr,,23821,12,7662.94,0.05,B-,1828,12     22
137,88,225,Ra,,21993.1,2.6,7667.586,0.012,B-,356,5     22
136,89,225,Ac,,21637,5,7665.69,0.021,,*,22
135,90,225,Th,#NAME?,22310,5,7659.222,0.023,B+,673,7     22
134,91,225,Pa,#NAME?,24340,70,7646.7,0.3,B+,2030,70     22
133,92,225,U,#NAME?,27380,11,7629.74,0.05,B+,3040,70     22
132,93,225,Np,#NAME?,31590,70,7607.6,0.3,B+,4210,70     22
142,84,226,Po,x,37550,400,7614,2,B-,2930,500.    22
141,85,226,At,x,34610,300,7624,1,B-,5870,300.    22
140,86,226,Rn,,28747,10,7646.41,0.05,B-,1227,12     22
139,87,226,Fr,,27521,6,7648.376,0.028,B-,3853,7     22
138,88,226,Ra,,23667.8,1.9,7661.962,0.009,B-,-641,3     22
137,89,226,Ac,,24309,3,7655.662,0.014,B-,1112,5     22
136,90,226,Th,,23198,4,7657.119,0.02,,*,22
135,91,226,Pa,#NAME?,26033,11,7641.11,0.05,B+,2836,12     22
134,92,226,U,#NAME?,27329,13,7631.92,0.06,B+,1296,17     22
133,93,226,Np,#NAME?,32780,90,7604,0,B+,5450,90.    22
143,84,227,Po,x,42280,400,7596,2,B-,4800,500.    22
142,85,227,At,x,37480,300,7613,1,B-,4600,300.    22
141,86,227,Rn,,32886,14,7630.05,0.06,B-,3203,15     22
140,87,227,Fr,,29682,6,7640.715,0.026,B-,2505,6     22
139,88,227,Ra,#NAME?,27177.7,2,7648.303,0.009,B-,1328.1,2.3   22
138,89,227,Ac,,25849.6,1.9,7650.707,0.008,B-,44.8,0.8   22
137,90,227,Th,,25804.8,2.1,7647.458,0.009,,*,22
136,91,227,Pa,#NAME?,26831,7,7639.49,0.03,B+,1026,7     22
135,92,227,U,#NAME?,29045,10,7626.29,0.04,B+,2214,12     22
134,93,227,Np,#NAME?,32560,70,7607.4,0.3,B+,3520,70     22
133,94,227,Pu,x,36770,100,7585,0,B+,4210,120.    22
143,85,228,At,x,41680,400,7597,2,B-,6440,400.    22
142,86,228,Rn,,35243,18,7621.64,0.08,B-,1859,19     22
141,87,228,Fr,,33384,7,7626.368,0.03,B-,4444,7     22
140,88,228,Ra,#NAME?,28940.3,2,7642.428,0.009,B-,45.5,0.6   22
139,89,228,Ac,-,28894.7,2.1,7639.196,0.009,B-,2123.7,2.6   22
138,90,228,Th,,26771,1.8,7645.08,0.008,,*,22
137,91,228,Pa,#NAME?,28924,4,7632.207,0.019,B+,2153,4     22
136,92,228,U,#NAME?,29222,14,7627.47,0.06,B+,299,15     22
135,93,228,Np,#NAME?,33600,50,7604.85,0.22,B+,4370,50     22
134,94,228,Pu,#NAME?,36087,29,7590.49,0.13,B+,2490,60     22
144,85,229,At,x,44820,400,7585,2,B-,5460,400.    22
143,86,229,Rn,x,39362,13,7605.62,0.06,B-,3694,14     22
142,87,229,Fr,,35668,5,7618.337,0.022,B-,3106,16     22
141,88,229,Ra,x,32562,15,7628.49,0.07,B-,1872,20     22
140,89,229,Ac,x,30690,12,7633.24,0.05,B-,1104,12     22
139,90,229,Th,,29585.6,2.4,7634.65,0.011,,*,22
